"date_time","temp","hr","QI","lobster_id","temperature","date2"
"12/9/18 6:15",40,0,3,"IV11","11",2018-12-09 06:15:00
"12/9/18 6:18",40,1,3,"IV11","11",2018-12-09 06:18:00
"12/9/18 6:21",40,44,0,"IV11","11",2018-12-09 06:21:00
"12/9/18 6:24",40,43,0,"IV11","11",2018-12-09 06:24:00
"12/9/18 6:27",40,41,0,"IV11","11",2018-12-09 06:27:00
"12/9/18 6:30",40,37,0,"IV11","11",2018-12-09 06:30:00
"12/9/18 6:33",40,41,0,"IV11","11",2018-12-09 06:33:00
"12/9/18 6:36",40,37,0,"IV11","11",2018-12-09 06:36:00
"12/9/18 6:39",40,35,0,"IV11","11",2018-12-09 06:39:00
"12/9/18 6:42",37,37,0,"IV11","11",2018-12-09 06:42:00
"12/9/18 6:45",37,35,0,"IV11","11",2018-12-09 06:45:00
"12/9/18 6:48",40,36,0,"IV11","11",2018-12-09 06:48:00
"12/9/18 6:51",40,36,0,"IV11","11",2018-12-09 06:51:00
"12/9/18 6:54",40,35,0,"IV11","11",2018-12-09 06:54:00
"12/9/18 6:57",40,36,0,"IV11","11",2018-12-09 06:57:00
"12/9/18 7:00",40,36,0,"IV11","11",2018-12-09 07:00:00
"12/9/18 7:03",40,40,0,"IV11","11",2018-12-09 07:03:00
"12/9/18 7:06",40,36,0,"IV11","11",2018-12-09 07:06:00
"12/9/18 7:09",40,37,0,"IV11","11",2018-12-09 07:09:00
"12/9/18 7:12",37,35,0,"IV11","11",2018-12-09 07:12:00
"12/9/18 7:15",28,36,0,"IV11","11",2018-12-09 07:15:00
"12/9/18 7:18",28,34,0,"IV11","11",2018-12-09 07:18:00
"12/9/18 7:21",31,36,0,"IV11","11",2018-12-09 07:21:00
"12/9/18 7:24",37,36,0,"IV11","11",2018-12-09 07:24:00
"12/9/18 7:27",40,35,0,"IV11","11",2018-12-09 07:27:00
"12/9/18 7:30",40,36,0,"IV11","11",2018-12-09 07:30:00
"12/9/18 7:33",40,35,0,"IV11","11",2018-12-09 07:33:00
"12/9/18 7:36",40,37,0,"IV11","11",2018-12-09 07:36:00
